date,ENGLAND_WALES_DEMAND,Date,consumption,TX,Q_TX,TN,Q_TN,TG,Q_TG,SS,Q_SS,SD,Q_SD,RR,Q_RR,QQ,Q_QQ,PP,Q_PP,HU,Q_HU,CC,Q_CC
2011-11-23,1726127,2011-11-23,6.952692307692308,13.5,0,26.0,0,68.0,0,20.0,0,0.0,0,2.0,0,35.0,0,10272.0,0,93.0,0,7.0,0
2011-11-24,1686910,2011-11-24,8.536480000000001,12.5,0,37.0,0,86.0,0,20.0,0,0.0,0,2.0,0,35.0,0,10271.0,0,88.0,0,3.0,0
2011-11-25,1657598,2011-11-25,9.49978125,14.0,0,95.0,0,110.0,0,50.0,0,0.0,0,0.0,0,52.0,0,10245.0,0,78.0,0,3.0,0
2011-11-26,1497543,2011-11-26,10.267707317073171,13.9,0,63.0,0,102.0,0,7.0,0,0.0,0,0.0,0,24.0,0,10258.0,0,79.0,0,4.0,0
2011-11-27,1436364,2011-11-27,10.85080487804878,13.2,0,97.0,0,118.0,0,59.0,0,0.0,0,0.0,0,55.0,0,10213.0,0,69.0,0,3.0,0
2011-11-28,1718940,2011-11-28,9.103381818181818,13.9,0,2.0,0,67.0,0,0.0,0,0.0,0,0.0,0,15.0,0,10227.0,0,85.0,0,5.0,0
2011-11-29,1691918,2011-11-29,9.274873015873016,12.8,0,33.0,0,86.0,0,0.0,0,0.0,0,4.0,0,15.0,0,10096.0,0,81.0,0,6.0,0
2011-11-30,1704642,2011-11-30,8.813513157894738,11.0,0,55.0,0,92.0,0,37.0,0,0.0,0,12.0,0,42.0,0,10192.0,0,76.0,0,4.0,0
2011-12-01,1730216,2011-12-01,9.22770652173913,11.4,0,80.0,0,95.0,0,7.0,0,0.0,0,50.0,0,22.0,0,10071.0,0,81.0,0,7.0,0
2011-12-02,1736431,2011-12-02,10.14591,11.9,0,21.0,0,68.0,0,41.0,0,0.0,0,8.0,0,41.0,0,10122.0,0,87.0,0,3.0,0
2011-12-03,1513391,2011-12-03,10.780272727272727,9.5,0,34.0,0,77.0,0,12.0,0,0.0,0,0.0,0,25.0,0,10036.0,0,79.0,0,7.0,0
2011-12-04,1522717,2011-12-04,12.163127272727273,7.6,1,69.0,0,82.0,1,0.0,0,0.0,0,6.0,0,13.0,0,10012.0,0,81.0,0,6.0,0
2011-12-05,1778217,2011-12-05,10.609714285714286,9.0,0,19.0,0,48.0,0,31.0,0,0.0,0,0.0,0,35.0,0,10061.0,0,77.0,0,1.0,0
2011-12-06,1814820,2011-12-06,11.673416666666668,9.8,0,24.0,0,57.0,0,7.0,0,0.0,0,0.0,0,21.0,0,10074.0,0,81.0,0,2.0,0
2011-12-07,1785873,2011-12-07,10.889361842105263,13.2,0,38.0,0,68.0,0,60.0,0,0.0,0,0.0,0,48.0,0,10089.0,0,67.0,0,2.0,0
2011-12-08,1801808,2011-12-08,11.525149700598803,8.2,0,27.0,0,80.0,0,0.0,0,0.0,0,10.0,0,13.0,0,10107.0,0,81.0,0,7.0,0
2011-12-09,1787907,2011-12-09,11.759836956521738,6.6,0,35.0,0,59.0,0,48.0,0,0.0,0,0.0,0,42.0,0,10107.0,0,72.0,0,1.0,0
